2018-04-23 17:17:24 install libpam0g:arm64 <none> 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:24 status half-installed libpam0g:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:24 status unpacked libpam0g:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:24 status unpacked libpam0g:arm64 1.1.8-3.1+deb8u2+b1
2018-04-23 17:17:24 install libpcre3:arm64 <none> 2:8.35-3.3+deb8u4
2018-04-23 17:17:24 status half-installed libpcre3:arm64 2:8.35-3.3+deb8u4
2018-04-23 17:17:25 status unpacked libpcre3:arm64 2:8.35-3.3+deb8u4
2018-04-23 17:17:25 status unpacked libpcre3:arm64 2:8.35-3.3+deb8u4
2018-04-23 17:17:25 upgrade perl-base:arm64 5.20.2-3+deb8u9 5.20.2-3+deb8u9
2018-04-23 17:17:25 status half-configured perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:25 status unpacked perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:25 status half-installed perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:28 status half-installed perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:28 status unpacked perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:28 status unpacked perl-base:arm64 5.20.2-3+deb8u9
2018-04-23 17:17:29 install libprocps3:arm64 <none> 2:3.3.9-9
2018-04-23 17:17:29 status half-installed libprocps3:arm64 2:3.3.9-9
2018-04-23 17:17:29 status unpacked libprocps3:arm64 2:3.3.9-9
2018-04-23 17:17:29 status unpacked libprocps3:arm64 2:3.3.9-9
2018-04-23 17:17:29 install procps:arm64 <none> 2:3.3.9-9
2018-04-23 17:17:29 status half-installed procps:arm64 2:3.3.9-9
2018-04-23 17:17:30 status unpacked procps:arm64 2:3.3.9-9
2018-04-23 17:17:30 status unpacked procps:arm64 2:3.3.9-9
2018-04-23 17:17:30 install sed:arm64 <none> 4.2.2-4+deb8u1
2018-04-23 17:17:30 status half-installed sed:arm64 4.2.2-4+deb8u1
2018-04-23 17:17:31 status unpacked sed:arm64 4.2.2-4+deb8u1
2018-04-23 17:17:31 status unpacked sed:arm64 4.2.2-4+deb8u1
2018-04-23 17:17:31 install sensible-utils:all <none> 0.0.9
2018-04-23 17:17:31 status half-installed sensible-utils:all 0.0.9
